UPC	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
021497880036	BROUWERIJ VERHAEGHE BARBE BLGIAN	BROUWERIJ VERHAEGHE BARBE BLGIAN	D & V INTERNATIONAL	11.2 OZ		123510	PINNACLE IMPORTS	CS	24	
021497880036	FORIS GEWURTZ 2016	FORIS GEWURTZ 2016	FORIS VINEYARDS WINERY	750 ML	11.25	104780	PINNACLE IMPORTS	CS	12	
021497880050	FORIS PN NOIR 2014	FORIS PINOT NOIR 2014	FORIS VINEYARDS WINERY	750 ML	16.5	10483012	PINNACLE IMPORTS	CS	12	
021497880067	FORIS ROUGE VALLEY CHRDNY 2012	FORIS ROUGE VALLEY CHRDNY 2012	FORIS VINEYARDS WINERY	750 ML	12	104710	PINNACLE IMPORTS	CS	12	
021497880074	FORIS FLYOVER RD 2012	FORIS FLY-OVER RD 2012	FORIS VINEYARDS WINERY	750 ML	10.5	104740	PINNACLE IMPORTS	CS	12	
021497880142	FORIS PINOT GRIS 2016	FORIS PINOT GRIS 2016	FORIS VINEYARDS WINERY	750 ML	12.75	104720	PINNACLE IMPORTS	CS	12	
21497880234	BROUWERIJ VERHAEGHE BARBE RUBY	BROUWERIJ VERHAEGHE BARBE RUBY	D & V INTERNATIONAL	11.2 OZ		123511	PINNACLE IMPORTS	CS	24	
21497880234	BROUWERIJ VER DUCHESSE BOURGOGNE	BROUWERIJ VER DUCHESSE BOURGOGNE	D & V INTERNATIONAL	24.5 OZ		302790	PINNACLE IMPORTS	CS	12	
021497880234	FORIS CDR RANCH PN NOIR 13	FORIS CEDAR RANCH PINOT NOIR 13	FORIS VINEYARDS WINERY	750 ML	24.75	104791	PINNACLE IMPORTS	CS	12	
021497880241	BROUWER DUCHESSE DE BOURGOGNE	BROUWER DUCHESSE DE BOURGOGNE	D & V INTERNATIONAL	5.16667GA L		304810	PINNACLE IMPORTS	EA	1	
021497880241	FORIS ROUGE VALL PINOT BLANC 13	FORIS ROUGE VALLEY PINOT BLANC 2013	FORIS VINEYARDS WINERY	750 ML	12.75	104820	PINNACLE IMPORTS	CS	12	
21497880371	BROUWERIJ STRUBBE ICHTEGEMS GRND	BROUWERIJ STRUBBE ICHTEGEMS GRAND CRU FLEMISH RD ALE 24PK	B. UNITED	11.2 OZ		117680	PINNACLE IMPORTS	CS	24	
021497880371	FORIS ROUGE VAL FLYOVER WHT 13	FORIS ROUGE VALLEY FLY-OVER WHITE 2013	FORIS VINEYARDS WINERY	750 ML	11.25	104760	PINNACLE IMPORTS	CS	12	
021497880432	FORIS ROUGE VALLEY MOSCATO 2016	FORIS ROUGE VALLEY MOSCATO 2016	FORIS VINEYARDS WINERY	750 ML	12.75	104800	PINNACLE IMPORTS	CS	12	
022588418831	SWANSON ALEXIS CAB SAUV 12	SWANSON ALEXIS CABERNET SAUVIGNON 2012 6PK	VINTAGE WINE ESTATES	750 ML	57	10375010	PINNACLE IMPORTS	CS	6	
29882445365	BOUCHARD BEAUN GREVES LENFANT 14	BOUCHARD BEAUNE GREVES LENFANT JESUS 2014	HENRIOT INC.	750 ML	98.5	117143	PINNACLE IMPORTS	CS	12	
