UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
12485400022	y	ALBERT MANN GEWURZTRAMINER 2015	ALBERT MANN GEWURZTRAMINER 2015	WEYGANDT-METZLER IMPORTING	750 ML	20.25	115530	PINNACLE IMPORTS	CS	12
012485400022	y	BRUTOCAO HOPLAND RANCH ZINF 10	BRUTOCAO HOPLAND RANCH ZINF 10	BRUTOCAO CELLARS	750 ML	17.25	10038010	PINNACLE IMPORTS	CS	12
012485660020	y	BLISS SAUV BLANC 2016	BLISS SAUVIGNON BLANC 2016	BRUTOCAO CELLARS	750 ML	10.5	100281	PINNACLE IMPORTS	CS	12
012485660020	y	ALBERT MANN AUXERROIS 2014	ALBERT MANN AUXERROIS 2014	WEYGANDT-METZLER IMPORTING	750 ML	15.75	11202013	PINNACLE IMPORTS	CS	12
12485770026	y	AECHT SCHLNKRLA RAUCHBIER URBOCK	AECHT SCHLNKRLA RAUCHBIER URBOCK	B. UNITED	16.9 OZ		302920	PINNACLE IMPORTS	CS	20
012485770026	y	BLISS MERLOT 2015	BLISS MERLOT 2015	BRUTOCAO CELLARS	750 ML	10.5	100260	PINNACLE IMPORTS	CS	12
12485880022	y	AECHT SCHLNKRLA RAUCHBIER WHEAT	AECHT SCHLNKRLA RAUCHBIER WHEAT	B. UNITED	16.9 OZ		302930	PINNACLE IMPORTS	CS	20
012485880022	y	BLISS PN NOIR 2015	BLISS PINOT NOIR 2015	BRUTOCAO CELLARS	750 ML	14.25	118460	PINNACLE IMPORTS	CS	12
012485900027	y	BRUTOCAO CAB SAUV 2013	BRUTOCAO CABERNET SAUVIGNON 2013	BRUTOCAO CELLARS	750 ML	18.75	121960	PINNACLE IMPORTS	CS	12
012485990028	y	BLISS CAB SAUV 2014	BLISS CABERNET SAUVIGNON 2014	BRUTOCAO CELLARS	750 ML	10.5	115870	PINNACLE IMPORTS	CS	12
15643212222	y	MILLIERE VAUCLUSE ROUGE 12	DOM MILLIERE VAUCLUSE ROUGE 12	NORTH BERKELEY IMPORTS	750 ML	13.5	125370	PINNACLE IMPORTS	CS	12
18783300602	y	ANDREW WILL SORELLA 2013	ANDREW WILL SORELLA 2013	ANDREW WILL	750 ML	65.25	116482	PINNACLE IMPORTS	CS	12
018783300602	y	DONATI SISTERS FOREVER CHARD 16	DONATI SISTERS FOREVER CHARD 16	DONATI FAMILY VINEYARD	750 ML	12	100990	PINNACLE IMPORTS	CS	12
021497880036	y	BROUWERIJ VERHAEGHE BARBE BLGIAN	BROUWERIJ VERHAEGHE BARBE BLGIAN	D & V INTERNATIONAL	11.2 OZ		123510	PINNACLE IMPORTS	CS	24
021497880036	y	FORIS GEWURTZ 2016	FORIS GEWURTZ 2016	FORIS VINEYARDS WINERY	750 ML	11.25	104780	PINNACLE IMPORTS	CS	12
021497880050	y	FORIS PN NOIR 2014	FORIS PINOT NOIR 2014	FORIS VINEYARDS WINERY	750 ML	16.5	10483012	PINNACLE IMPORTS	CS	12
021497880067	y	FORIS ROUGE VALLEY CHRDNY 2012	FORIS ROUGE VALLEY CHRDNY 2012	FORIS VINEYARDS WINERY	750 ML	12	104710	PINNACLE IMPORTS	CS	12
021497880074	y	FORIS FLY-OVER RD 2012	FORIS FLY-OVER RD 2012	FORIS VINEYARDS WINERY	750 ML	10.5	104740	PINNACLE IMPORTS	CS	12
021497880142	y	FORIS PINOT GRIS 2016	FORIS PINOT GRIS 2016	FORIS VINEYARDS WINERY	750 ML	12.75	104720	PINNACLE IMPORTS	CS	12
21497880234	y	BROUWERIJ VERHAEGHE BARBE RUBY	BROUWERIJ VERHAEGHE BARBE RUBY	D & V INTERNATIONAL	11.2 OZ		123511	PINNACLE IMPORTS	CS	24
21497880234	y	BROUWERIJ VER DUCHESSE BOURGOGNE	BROUWERIJ VER DUCHESSE BOURGOGNE	D & V INTERNATIONAL	24.5 OZ		302790	PINNACLE IMPORTS	CS	12
021497880234	y	FORIS CDR RANCH PN NOIR 13	FORIS CEDAR RANCH PINOT NOIR 13	FORIS VINEYARDS WINERY	750 ML	24.75	104791	PINNACLE IMPORTS	CS	12
021497880241	y	BROUWER DUCHESSE DE BOURGOGNE	BROUWER DUCHESSE DE BOURGOGNE	D & V INTERNATIONAL	5.16667GA L		304810	PINNACLE IMPORTS	EA	1
021497880241	y	FORIS ROUGE VALL PINOT BLANC 13	FORIS ROUGE VALLEY PINOT BLANC 2013	FORIS VINEYARDS WINERY	750 ML	12.75	104820	PINNACLE IMPORTS	CS	12
21497880371	y	BROUWERIJ STRUBBE ICHTEGEMS GRND	BROUWERIJ STRUBBE ICHTEGEMS GRAND CRU FLEMISH RD ALE 24PK	B. UNITED	11.2 OZ		117680	PINNACLE IMPORTS	CS	24
021497880371	y	FORIS ROUGE VAL FLYOVER WHT 13	FORIS ROUGE VALLEY FLY-OVER WHITE 2013	FORIS VINEYARDS WINERY	750 ML	11.25	104760	PINNACLE IMPORTS	CS	12
