UPC	RECEIPT ALIAS	BRAND	SIZE	MSRP	VENDOR
10023400016027	CLEANSER W/BLCH 9/24 OZ	SOFT SCRUB	24OZ	4.39	CAPITAL CANDY
10044600002429	LIQUID PLUMBER  9/32 OZ.	LIQUID	32OZ	3.49	CAPITAL CANDY
10051500251628	CRISCO OIL  9/32 OZ	CRISCO	32.00 OZ	5.19	CAPITAL CANDY
10070481011314	MURPHY OIL SOAP LIQUID 9/16 OZ.	MURPHY	16OZ	3.09	CAPITAL CANDY
10072613450746	ALL LIQ.DET STAIN LIFTER 9/32 OZ	ALL	32OZ	7.49	CAPITAL CANDY
10072613450753	ALL LIQ.DET.FREE&CLEAR 9/32 OZ	ALL	32 OZ	7.49	CAPITAL CANDY
000071009100	DOMINO GRANULATE SUGAR 10/4 LB	DOMINO	4LB	4.19	CAPITAL CANDY
000072815106	UVP MANGOES 10 CT	UVP	1 CT	2.99	CAPITAL CANDY
000072815205	UVP CLEMENTINES 3 LB BAG 10 CT	UVP	1 CT	9.39	CAPITAL CANDY
000072827505	UVP POTATO IDAHO 10/5LB	UVP	1 CT	4.89	CAPITAL CANDY
00006500120200	DAWN DISH LIQ. 10/21 OZ.	DAWN	21.6OZ	4.39	CAPITAL CANDY
012300101134	FS CAMEL REG NONFILTER	CAMEL	KING	10.89	CAPITAL CANDY
012300102131	FS CAMEL FILTER KS	CAMEL	KING	8.69	CAPITAL CANDY
012300103138	FS CAMEL FILTER KS BOX	CAMEL	KING	8.69	CAPITAL CANDY
012300107136	FS CAMEL BLUE  KS BOX	CAMEL	KING	8.69	CAPITAL CANDY
012300197403	FS CAMEL CRUSH	CAMEL	KINGS	8.69	CAPITAL CANDY
012300707138	FS CAMEL WIDES FIL BOX	CAMEL	KING	8.69	CAPITAL CANDY
012546009317	STRIDE MELOPEACH 10 CT NEW	STRIDE	14 PIECE	1.49	CAPITAL CANDY
012546032353	DENTYNE PURE MINT W/ HERBS 30800	DENTYNE	1PK-9STK	1.39	CAPITAL CANDY
012546075497	TRIDENT SPLASH PEPP SWIRL 10 CT	TRIDENT	1CT	1.39	CAPITAL CANDY
022000105066	WRIG 5 COBALT SP 10CT 21265	WRIG	1CT	1.79	CAPITAL CANDY
022000105080	WRIG 5 RAIN  SP  10CT  21267	WRIG	1CT	1.69	CAPITAL CANDY
022000106988	WRIG JUICY FRUIT SS  21736	WRIG	1 PK 15ST	1.29	CAPITAL CANDY
022000106995	WRIG BIG RED SS      21737	WRIG	1 PK  15S	1.29	CAPITAL CANDY
22000159489	CLASSIC BUBBLE SS 22026	EXTRA	1 PK 15ST	1.29	CAPITAL CANDY
022000159519	SWEET WATERMELON  15 CT	EXTRA	15CT/PK	1.29	CAPITAL CANDY
022000159533	WRIG EXTRA POLAR ICE  SS  22036	WRIG	1PK 15ST	1.29	CAPITAL CANDY
022000159540	WRIG EXTRA SPEARMINT  SS  22037	WRIG	1PK 15ST	1.29	CAPITAL CANDY
028200303714	FS BASIC BP FILTER BOX KS	CAMEL	KING	8.89	CAPITAL CANDY
041780020079	UTZ POTATO CHIP REGULAR 10/6.5OZ	UTZ	6.5 OZ	2.00	CAPITAL CANDY
047995200015	NON-FIL KS BROWN BOX	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855178	FS AM SPIRIT PERIQUE BLEND BLK	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855185	FS AM SPIRIT FILTER KS BLUE BOX	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855192	FILTER LT YELLOW BOX	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855314	FILTER CELADON BOX KS	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855321	FS AM SPIRIT MEN FF KS BX DK GR	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855345	ORG BLD BOX TURQOISE/RED	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995855352	ORGANIC BLD  BX GOLD	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995856021	KS GRAY BOX PERIQUE RI	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
047995856045	KS DK BL BOX US GROWN	AMERICAN SPIRIT	KING	9.19	CAPITAL CANDY
00070330623200	BIC UTILITY LIGHTER 10/1	BIC	PKT	4.69	CAPITAL CANDY
090600301768	FS SONOMA RED KING BOX	SONOMA	KING	7.69	CAPITAL CANDY
090600301843	FS SONOMA GOLD KING BOX	SONOMA	KING	7.69	CAPITAL CANDY
090600301850	FS SONOMA GOLD 100'S BOX	SONOMA	100'S	7.69	CAPITAL CANDY
751667046947	DJARUM CIGAR BLACK 10/12PK	DJARUM	1PK	8.19	CAPITAL CANDY
874411000733	CHEYENNE CGR 100MM XOTIC BRY	CHEYENNE	10	5.79	CAPITAL CANDY
10014500024395	BE CORN CUT POLY BAG 10/14 OZ	BE	14.4 OZ	2.29	CAPITAL CANDY
10042187001996	SUGAR 10/4 LBS (B-Y)	SUGAR	4LB	3.69	CAPITAL CANDY
10079100000781	POUNCE CHICKEN TREATS 10/3 OZ	POUNCE	3OZ	1.89	CAPITAL CANDY
10079100900111	BAG FLLT MIGNON 10/5.6OZ	MILK-BONE	5.6OZ	4.09	CAPITAL CANDY
000002940106	ROSIE'S MAPLE BEEF STICK 12 CT	ROSIE'S	12 CT	1.69	CAPITAL CANDY
000005003006	CHAPSTICK INDV/CARD REGULAR	CHAPSTICK	1CT	1.89	CAPITAL CANDY
000005003105	CHAPSTICK INDV/CARD CHERRY	CHAPSTICK	1CT	1.89	CAPITAL CANDY
000005150007	SILKY TOUCH 3 WOMAN SHAVER 4PK	BIC	PKT	5.39	CAPITAL CANDY
000005205103	TYLENOL XTRA STR CAPLET 24'S	TYLENOL	1CT	5.69	CAPITAL CANDY
000005207404	VICKS VAPORRUB 1.76 OZ	VICKS	1OZ	6.09	CAPITAL CANDY
000005214006	MIDOL MAX STRENGTH 24'S CAPLETS	MIDOL	1CT	7.29	CAPITAL CANDY
000005216307	DRAMAMINE 12 TAB	DRAMAMINE	1CT	5.79	CAPITAL CANDY
000005218707	ELIXIR COLD & ALLERGY 4 OZ	DIMETAPP	4OZ	7.79	CAPITAL CANDY
000005234806	ALKA SELTZER ORIGINAL 12/36'S	ALKA	PKT	6.79	CAPITAL CANDY
000005289905	ADVIL CAPLETS 24'S	ADVIL	1CT	5.39	CAPITAL CANDY
000005800308	BLISTEX LIP OINTMENT .21 OZ	BLISTEX	1CT	2.29	CAPITAL CANDY
000006003104	TAMPAX 10'S REGULAR FLUSHABLE	TAMPAX	10CT	2.89	CAPITAL CANDY
000006204105	Q-TIPS 170 CT	Q-TIPS	1CT	2.79	CAPITAL CANDY
000006300203	J & J GAUZE PAD 3 X 3 10'S	J&J	10.00 PA	2.49	CAPITAL CANDY
000006300302	J & J TAPE WATERPROOF 1/2 X 10	J&J	1CT	2.89	CAPITAL CANDY
000006300500	J & J BABY POWDER 4 OZ	J&J	4OZ	2.39	CAPITAL CANDY
000006303006	J & J DENTAL FLOSS WAX 50 YD	J&J	1CT	1.79	CAPITAL CANDY
000006403409	TOOTHBRUSH X CLN ADULT SOFT	COLGATE	1.00 CT	.99	CAPITAL CANDY
